Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-08-26,Tennessee,Nashville,0,0,0,0,1,47000,6910840.0,47037,715884.0
2024-08-26,California,Visalia,0,0,0,0,1,06000,39538223.0,06107,473117.0
2024-08-26,Texas,Houston,1,0,1,0,0,48000,29145505.0,48201,4731145.0
2024-08-23,Texas,San Antonio,0,0,0,0,1,48000,29145505.0,48029,2009324.0
2024-08-23,Georgia,Covington,0,0,0,0,0,13000,10711908.0,13217,112483.0
2024-08-23,Texas,Dallas,0,0,0,0,1,48000,29145505.0,48113,2613539.0
2024-08-22,Ohio,Dayton (West Carrollton),0,0,0,0,1,39000,11799448.0,39113,537309.0
2024-08-22,Georgia,Augusta,0,0,0,0,0,13000,10711908.0,13245,206607.0
2024-08-22,Texas,El Paso,0,0,1,0,0,48000,29145505.0,48141,865657.0
2024-08-22,Alabama,Tallassee,0,0,0,0,1,01000,5024279.0,01051,87977.0
2024-08-22,California,Vallejo,0,0,0,0,1,06000,39538223.0,06095,453491.0
2024-08-22,Louisiana,Baton Rouge,0,0,0,0,1,22000,4657757.0,22033,456781.0
2024-08-22,Louisiana,Baton Rouge,0,0,0,0,1,22000,4657757.0,22033,456781.0
2024-08-21,Mississippi,Tunica (county),0,0,0,0,1,28000,2961279.0,28143,9782.0
2024-08-21,Louisiana,Opelousas,0,0,0,0,1,22000,4657757.0,22097,82540.0
2024-08-20,Texas,San Antonio,0,0,0,0,1,48000,29145505.0,48029,2009324.0
2024-08-20,California,Tracy,0,0,0,0,1,06000,39538223.0,06077,779233.0
2024-08-19,Louisiana,Bossier City,0,1,0,0,1,22000,4657757.0,22015,128746.0
2024-08-19,Georgia,Savannah,0,0,0,0,2,13000,10711908.0,13051,295291.0
2024-08-19,Nevada,North Las Vegas,0,0,0,0,1,32000,3104614.0,32003,2265461.0
2024-08-19,North Carolina,Winston Salem (Winston-salem),0,0,0,0,1,37000,10439388.0,37067,382590.0
2024-08-18,Mississippi,Itta Bena,0,2,0,0,0,28000,2961279.0,28083,28339.0
2024-08-18,Mississippi,Itta Bena,0,2,0,0,0,28000,2961279.0,28083,28339.0
2024-08-16,Texas,Victoria,0,0,0,0,2,48000,29145505.0,48469,91319.0
2024-08-16,Georgia,Columbus,0,0,0,0,0,13000,10711908.0,01113,59183.0
2024-08-16,Louisiana,Hammond,0,0,0,0,1,22000,4657757.0,22105,133157.0
2024-08-16,Mississippi,Columbus,0,0,0,0,1,28000,2961279.0,28087,58879.0
2024-08-15,Georgia,Mount Airy,0,0,0,0,1,13000,10711908.0,13137,46031.0
2024-08-15,Indiana,Terre Haute,0,0,0,0,0,18000,6785528.0,18167,106153.0
2024-08-15,South Carolina,Columbia,0,0,0,0,1,45000,5118425.0,45079,416147.0
2024-08-14,New York,Syracuse,0,0,0,0,0,36000,20201249.0,36067,476516.0
2024-08-14,Virginia,Petersburg,0,4,0,0,2,51000,8631393.0,51730,33458.0
2024-08-13,Ohio,Cincinnati,0,0,0,0,1,39000,11799448.0,39061,830639.0
2024-08-13,North Carolina,Connelly Springs,0,0,0,0,1,37000,10439388.0,37023,87570.0
2024-08-13,Texas,Richmond,0,0,0,0,1,48000,29145505.0,48157,822779.0
2024-08-13,South Carolina,Anderson,0,0,0,0,1,45000,5118425.0,45007,203718.0
2024-08-13,Tennessee,Chattanooga,0,0,0,0,1,47000,6910840.0,47065,366207.0
2024-08-12,South Carolina,Blythewood,0,0,0,0,1,45000,5118425.0,45079,416147.0
2024-08-10,Tennessee,Nashville,0,1,0,0,1,47000,6910840.0,47037,715884.0
2024-08-09,Georgia,Augusta,0,0,0,0,0,13000,10711908.0,13245,206607.0
